,day,num_trips
439,2016-03-15,91487
440,2016-03-16,99145
441,2016-03-17,108052
442,2016-03-18,115933
443,2016-03-19,96833
444,2016-03-20,77330
445,2016-03-21,78639
446,2016-03-22,81021
447,2016-03-23,93193
448,2016-03-24,107790
449,2016-03-25,96372
450,2016-03-26,82734
451,2016-03-27,65311
452,2016-03-28,73251
453,2016-03-29,78059
454,2016-03-30,89492
455,2016-03-31,65262
456,2016-04-01,112244
457,2016-04-02,105495
458,2016-04-03,85907
459,2016-04-04,96536
460,2016-04-05,93780
461,2016-04-06,102730
462,2016-04-07,106911
463,2016-04-08,114582
464,2016-04-09,97229
465,2016-04-10,73956
466,2016-04-11,84315
467,2016-04-12,90411
468,2016-04-13,96275
469,2016-04-14,100554
470,2016-04-15,109380
471,2016-04-16,96219
472,2016-04-17,79474
473,2016-04-18,83624
474,2016-04-19,94772
475,2016-04-20,98512
476,2016-04-21,96007
477,2016-04-22,101467
478,2016-04-23,81501
479,2016-04-24,70476
480,2016-04-25,76244
481,2016-04-26,92274
482,2016-04-27,99012
483,2016-04-28,102287
484,2016-04-29,110467
485,2016-04-30,101678
486,2016-05-01,75462
487,2016-05-02,81640
488,2016-05-03,85500
489,2016-05-04,94116
490,2016-05-05,102211
491,2016-05-06,106344
492,2016-05-07,91775
493,2016-05-08,69273
494,2016-05-09,94032
495,2016-05-10,100934
496,2016-05-11,101036
497,2016-05-12,105703
498,2016-05-13,114784
499,2016-05-14,96090
500,2016-05-15,77354
501,2016-05-16,79632
502,2016-05-17,89819
503,2016-05-18,93984
504,2016-05-19,99507
505,2016-05-20,110937
506,2016-05-21,99757
507,2016-05-22,92474
508,2016-05-23,96504
509,2016-05-24,94912
510,2016-05-25,96027
511,2016-05-26,95692
512,2016-05-27,98987
513,2016-05-28,88283
514,2016-05-29,84227
515,2016-05-30,61137
516,2016-05-31,81030
517,2016-06-01,89331
518,2016-06-02,100565
519,2016-06-03,115889
520,2016-06-04,97708
521,2016-06-05,90845
522,2016-06-06,92122
523,2016-06-07,97304
524,2016-06-08,94723
525,2016-06-09,100366
526,2016-06-10,109742
527,2016-06-11,108711
528,2016-06-12,92718
529,2016-06-13,93400
530,2016-06-14,95115
531,2016-06-15,96928
532,2016-06-16,96161
533,2016-06-17,106110
534,2016-06-18,96311
535,2016-06-19,83706
536,2016-06-20,92884
537,2016-06-21,93286
538,2016-06-22,99399
539,2016-06-23,97220
540,2016-06-24,98525
541,2016-06-25,95631
542,2016-06-26,78532
543,2016-06-27,77650
544,2016-06-28,78195
545,2016-06-29,83173
546,2016-06-30,89638
547,2016-07-01,83714
548,2016-07-02,72997
549,2016-07-03,67838
550,2016-07-04,58317
551,2016-07-05,67092
552,2016-07-06,74212
553,2016-07-07,81236
554,2016-07-08,89810
555,2016-07-09,83076
556,2016-07-10,70271
557,2016-07-11,80756
558,2016-07-12,84810
559,2016-07-13,93732
560,2016-07-14,97722
561,2016-07-15,105441
562,2016-07-16,96666
563,2016-07-17,82825
564,2016-07-18,87694
565,2016-07-19,93253
566,2016-07-20,95171
567,2016-07-21,103022
568,2016-07-22,103681
569,2016-07-23,98510
570,2016-07-24,77690
571,2016-07-25,82621
572,2016-07-26,86787
573,2016-07-27,98139
574,2016-07-28,102825
575,2016-07-29,110191
576,2016-07-30,95610
577,2016-07-31,57565
578,2016-08-01,84591
579,2016-08-02,80642
580,2016-08-03,87327
581,2016-08-04,91314
582,2016-08-05,90353
583,2016-08-06,81432
584,2016-08-07,68028
585,2016-08-08,73820
586,2016-08-09,85285
